fibre,rating,price_per_unit,fat,carbohydrates,starch,protein,unit,product_origin,energy_kj,total_sugars,salt,item_code,url,name,reviews,energy_kcal,saturates
,5.0,£5.50/kg,,,,,kg,Packed in United Kingdom; Produced from British Pork; Produced using British pork,,,,7423162,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-british-boneless-rind-on-pork-belly-joint-%28approx-700g%29,"Sainsbury's British Boneless Pork Belly Joint, Small",3,,
,2.4516,£12.00/kg,,,,,kg,"Produced in New Zealand, United Kingdom; Produced from British, New Zealand; Produced using British Lamb, New Zealand Lamb",,,,48446,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-lamb-boneless-shoulder-%28approx-730g%29,Sainsbury's Lamb Boneless Shoulder (approx. 767g),31,,
,2.5455,£5.50/unit,,,,,unit,Produced in United Kingdom; Produced using British pork,,,,7205352,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-british-stuffed-pork-shoulder-joint--sage---onion-11kg,"Sainsbury's British Pork Shoulder Joint, Stuffed with Sage & Onion 1.1kg",11,,
,3.2143,£12.50/kg,,,,,kg,Produce of United Kingdom; Produced in United Kingdom; Produced from British,,,,6424645,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-british-butterflied-lamb-leg-%28approx-750g%29,Sainsbury's British Butterflied Lamb Leg (approx. 663g),14,,
,3.6667,£6.70/kg,,,,,kg,Produced in United Kingdom; Produced from British Chicken,,,,7568041,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-norfolk-black-whole-chicken--taste-the-difference-%28approx-11kg---22kg%29,"Sainsbury's Norfolk Black Free Range Whole Chicken, Taste the Difference (approx. 1.65kg)",21,,
,3.625,£2.75/kg,,,,,kg,Packed in United Kingdom; Produced using British pork,,,,7899489,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-pork-shoulder-joint-cw-600g---14kg,Sainsbury's British Pork Shoulder Joint 1kg - 1.8kg,8,,
,3.0,£5.50/kg,,,,,kg,Packed in United Kingdom; Produced using British pork,,,,7900332,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-british-pork-loin-joint-vw-cw,Sainsbury's British Pork Crackling Loin Joint 1kg - 1.8kg,9,,
,3.0,£11.50/kg,,,,,kg,Produced in United Kingdom; Packed in United Kingdom; Produced using British Beef,,,,7341020,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-british-beef-slow-roast-joint--taste-the-difference-%28approx-1kg%29,"Sainsbury's 30 Day Matured British Beef Slow Roasting Joint, Taste the Difference 1kg - 1.8kg",9,,
,2.8889,£7.00/unit,,,,,unit,Produced in United Kingdom; Packed in United Kingdom; Produced using British Beef,,,,7875793,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-mini-beef-roasting-joint--taste-the-difference-500g-7875793-p-44,"Sainsbury's 30 Day Matured Mini Beef Roasting Joint, Taste the Difference 500g",9,,
,2.4444,£4.00/unit,,,,,unit,Packed in United Kingdom; Produced from Outdoor Bred British Pork,,,,7786647,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-pork-belly-joint--taste-the-difference-650g,"Sainsbury's Pork Belly Joint, Taste the Difference 650g",9,,
