item_code,nutritions,price_per_unit,product_image,product_name,product_origin,product_reviews,rating,unit,url
7161961,"{'Energy': '673kJ', 'Energy kcal': '160kcal', 'Fat': '6.2g', 'Saturates': '1.9g', 'Mono-unsaturates': '2.6g', 'Polyunsaturates': '1.4g', 'Carbohydrate': '0g', 'Sugars': '0g', 'Fibre': '0g', 'Protein': '26.1g', 'Salt': '0.30g'}",£4.25,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/40/0000001691740/0000001691740_L.jpeg,Sainsbury's Just Cook British Chicken Crown with Garlic & Herb Butter 525g (Serves 3),Produced in United Kingdom Produced using British chicken,35,4.2571,,https://www.sainsburys.co.uk/shop/gb/groceries/ready-to-cook-314359-44/sainsburys-just-cook-garlic-chicken-crown-530g
7888327,"{'Energy': '663kJ', 'Energy kcal': '160kcal', 'Fat': '14.4g', 'Saturates': '3.7g', 'Mono-unsaturates': '7.2g', 'Polyunsaturates': '2.7g', 'Carbohydrate': '6.6g', 'Sugars': '3.3g', 'Starch': '3.3g', 'Fibre': '<0.5g', 'Protein': '1.1g', 'Salt': '1.39g'}",£1.50,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/17/0000000307017/0000000307017_L.jpeg,Sainsbury's Tartare Sauce 200g,"Produced in England, United Kingdom",1,5.0,,https://www.sainsburys.co.uk/shop/gb/groceries/sauces--marinades---yorkshire-puddings-310901-44/sainsburys-tartare-sauce-200g
7712013,"{'Energy': '1066kJ', 'Energy kcal': '259kcal', 'Fat': '26.0g', 'Saturates': '17.6g', 'Mono-unsaturates': '6.1g', 'Polyunsaturates': '1.2g', 'Carbohydrate': '4.3g', 'Sugars': '0.9g', 'Starch': '3.4g', 'Fibre': '<0.5g', 'Protein': '1.6g', 'Salt': '0.75g'}",£1.30,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/21/0000000178921/0000000178921_L.jpeg,Sainsbury's Bearnaise Sauce 125g,Produced in United Kingdom,3,4.0,,https://www.sainsburys.co.uk/shop/gb/groceries/sauces--marinades---yorkshire-puddings-310901-44/sainsburys-bearnaise-sauce-125g
7655419,"{'Energy': '197kJ', 'Energy kcal': '46kcal', 'Fat': '<0.5g', 'Saturates': '<0.1g', 'Mono-unsaturates': '<0.1g', 'Polyunsaturates': '<0.1g', 'Carbohydrate': '8.5g', 'Sugars': '4.6g', 'Starch': '3.9g', 'Fibre': '<0.5g', 'Protein': '2.4g', 'Salt': '0.75g'}",£3.15,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/84/0000000130684/0000000130684_L.jpeg,"Sainsbury's Lamb Gravy, Taste the Difference 450g",Produced in United Kingdom Packed in United Kingdom Produced using Lamb from the UK,3,3.0,,https://www.sainsburys.co.uk/shop/gb/groceries/sauces--marinades---yorkshire-puddings-310901-44/sainsburys-lamb-gravy--taste-the-difference-450g
7862760,"{'Energy': '1358kJ', 'Energy kcal': '323kcal', 'Fat': '11.1g', 'Saturates': '1.1g', 'Mono-unsaturates': '6.4g', 'Polyunsaturates': '3.6g', 'Carbohydrate': '42.7g', 'Sugars': '3.1g', 'Starch': '36.6g', 'Fibre': '3.0g', 'Protein': '11.6g', 'Salt': '0.50g'}",£2.00,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/82/0000000286282/0000000286282_L.jpeg,Sainsbury's Yorkshire Puddings x8 240g,Produced in United Kingdom,0,0.0,,https://www.sainsburys.co.uk/shop/gb/groceries/sauces--marinades---yorkshire-puddings-310901-44/sainsburys-yorkshire-puddings-x8-240g
7926960,"{'Energy': '1155kJ', 'Energy kcal': '277kcal', 'Fat': '19.0g', 'Saturates': '6.3g', 'Mono-unsaturates': '7.3g', 'Polyunsaturates': '4.3g', 'Carbohydrate': '2.7g', 'Sugars': '0.7g', 'Starch': '2.0g', 'Fibre': '0g', 'Protein': '23.9g', 'Salt': '1.77g'}",£3.50,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/16/0000000336116/0000000336116_L.jpeg,"Sainsbury's British Outdoor Bred Pigs in Blankets, Taste the Difference x10 210g",Produced in United Kingdom Produced using British Pork,1,5.0,,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1236046&urlRequestType=Base&categoryId=310901&catalogId=10245&langId=44
7514740,"{'Energy': '172kJ', 'Energy kcal': '41kcal', 'Fat': '1.1g', 'Saturates': '0.5g', 'Mono-unsaturates': '0.5g', 'Polyunsaturates': '<0.1g', 'Carbohydrate': '4.4g', 'Sugars': '0.7g', 'Starch': '3.7g', 'Fibre': '<0.5g', 'Protein': '3.1g', 'Salt': '0.75g'}",£1.60,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/92/0000001803792/0000001803792_L.jpeg,Sainsbury's Beef Gravy 300g,Produced in United Kingdom Packed in United Kingdom Produced using Beef from the UK,0,0.0,,https://www.sainsburys.co.uk/shop/gb/groceries/sauces--marinades---yorkshire-puddings-310901-44/sainsburys-beef-gravy-300g
7514102,"{'Energy': '509kJ', 'Energy kcal': '123kcal', 'Fat': '10.2g', 'Saturates': '6.5g', 'Mono-unsaturates': '2.7g', 'Polyunsaturates': '0.3g', 'Carbohydrate': '4.3g', 'Sugars': '0.8g', 'Starch': '3.4g', 'Fibre': '<0.5g', 'Protein': '3.2g', 'Salt': '0.75g'}",£1.30,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/44/0000001803044/0000001803044_L.jpeg,Sainsbury's Diane Sauce 150g,Produced in United Kingdom Produced using Beef from the UK,5,2.8,,https://www.sainsburys.co.uk/shop/gb/groceries/sauces--marinades---yorkshire-puddings-310901-44/sainsburys-diane-sauce-150g
7514650,"{'Energy': '197kJ', 'Energy kcal': '47kcal', 'Fat': '2.0g', 'Saturates': '1.3g', 'Mono-unsaturates': '0.5g', 'Polyunsaturates': '<0.1g', 'Carbohydrate': '6.1g', 'Sugars': '2.1g', 'Starch': '4.0g', 'Fibre': '<0.5g', 'Protein': '1.1g', 'Salt': '0.70g'}",£1.60,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/23/0000001803723/0000001803723_L.jpeg,Sainsbury's Onion Gravy 300g,Produced in United Kingdom Packed in United Kingdom,3,3.0,,https://www.sainsburys.co.uk/shop/gb/groceries/sauces--marinades---yorkshire-puddings-310901-44/sainsburys-onion-gravy-300g
7514811,"{'Energy': '188kJ', 'Energy kcal': '45kcal', 'Fat': '1.4g', 'Saturates': '0.3g', 'Mono-unsaturates': '0.6g', 'Polyunsaturates': '0.4g', 'Carbohydrate': '4.1g', 'Sugars': '0.6g', 'Starch': '3.5g', 'Fibre': '<0.5g', 'Protein': '3.7g', 'Salt': '0.75g'}",£1.60,https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/08/0000001803808/0000001803808_L.jpeg,Sainsbury's Chicken Gravy 300g,Produced in United Kingdom Packed in United Kingdom,5,2.4,,https://www.sainsburys.co.uk/shop/gb/groceries/sauces--marinades---yorkshire-puddings-310901-44/sainsburys-poultry-gravy-300g
