item_code,product_name,url,price_per_unit,unit,rating,product_reviews,product_origin,product_image,Mono unsaturates,sugars,of which sugars:,of which Sugars,of which Sugars:,Vitamin A,Energy (kJ),Fat g,- sugars,Vitamin D,Proteine,image_urls,Fat:,- mono-unsaturates,Of which Sugars,Trans Fat,Total fat,Energy kcal,Fat (g),of which - Sugars,Carbohydrate:,(of which sugars),Trans Fats,of which saturated fatty acids,of which saturates [g],and EPA,Fibre g,Iron,Salt:,Fats,Protein g,- kcal,-of which sugars,DHA,poly-unsaturated,of which saturates (g),of which sugars :,Carbohydrate [g],- of which saturates (g),Fibre :,EPA,Energy,Of which saturates,Proteins,Carbohydrate g,Energy [kJ/kcal],Protein (g),Total Omega  3,Fat [g],of which saturates g,Energy:,- polyunsaturates,Starch,Calcium,Carbohydrate (g),of which sugar,Energy kJ,of which sugars [g],- of which Saturates,of which DHA,Trans fat,of which sugars,Polyunsaturates,Fibres,mono unsaturates,Total Sugars,Energy :,Fiber,Omega 3 Fatty Acids,- of which sugars (g),Vitamin B12,Omega 3,-of which saturates,Omega 3 fatty acids,of which saturated,Sodium,Protein [g],Protein :,Energy kJ/kcal,of which sugars (g),kcal,Salt (g),Energy value,Fat :,of which Saturates,Carbohydrate,of which sugars g,of which saturates :,thereof saturated fatty acids,Fibre:,of which saturates:,Thiamin (Vitamin B1),- starch,Salt,Vitamin C,Carbohydrate :,Carbohydrates:,Salt :,Polyols,mono-unsaturated,(of which saturates),Fibre [g],(of which sugars,trans fat,Energy (kcal),Dietary fibre,(kcal),Protein,Energy - kJ,- of which Sugars,saturates,- saturates,Of which: Saturates,of which - Saturates,polyunsaturates,Of which Saturates,- of which sugars,Fibre (g),of which saturates,Saturates,Energy kg/kcal,Potassium,Amount of sugar,of which saturated fats,Salt [g],- of which saturates,(of which saturates,Salt g,Omega 6,Carbohydrates,Protein:,Mono-unsaturates,Carbohydrates (g),Sugars,Of which: Sugars,of which Saturates:,Of which sugars,images,Fat,mono-unsaturates,of which: sugars,of which: saturates,Fibre,of which is saturated,of which: Saturates,Cholesterol
7825513,Sainsbury's Slow Cook Smokey BBQ Pork Ribs 676g (Serves 2),https://www.sainsburys.co.uk/shop/gb/groceries/ready-to-cook-314359-44/sainsburys-slow-cook-smokey-bbq-pork-ribs-676g,£5.00,,,,Produced in United Kingdom Produced using British Pork,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/50/0000000256650/0000000256650_L.jpeg'],,,,,,276kcal,,,,,,,,,,,,,,,,,,,,,,,,1151kJ,,,,,,,,,,,,,,,,,,,,,2.5g,,,,,,,,,,,,,,,,,,,,,,,8.7g,,,,,,,,0.60g,,,,,,,,,,,,,,24.8g,,,,,,,,,,,,5.6g,,,,,,,,,,,,6.4g,,7.4g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/50/0000000256650/0000000256650_L.jpeg', 'path': 'full/4f611b159b1f8ddaf323b3251a80fbd1affc3787.jpg', 'checksum': '89068b09f9bb926b1a81a1d66ade6f02'}]",15.5g,,,,1.0g,,,
7847524,Sainsbury's Just Cook Chicken Breasts with Cheese and Bacon 321g (Serves 2),https://www.sainsburys.co.uk/shop/gb/groceries/ready-to-cook-314359-44/sainsburys-just-cook-chicken-cheese-bacon-340g,£3.75,,,,Produced in United Kingdom Produced using British chicken and pork,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/26/0000000273626/0000000273626_L.jpeg'],,,,,,155kcal,,,,,,,,,,,,,,,,,,,,,,,,652kJ,,,,,,,,,,,,,,,,,,,,,1.2g,,,,,,,,,,,,,,,,,,,,,,,<0.5g,,,,,,,,0.54g,,,,,,,,,,,,,,26.0g,,,,,,,,,,,,1.9g,,,,,,,,,,,,2.2g,,<0.5g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/26/0000000273626/0000000273626_L.jpeg', 'path': 'full/f69073fb20a6045c024932a1c265a74cd7ea576f.jpg', 'checksum': '76055acfe937807a7a06829514d29e46'}]",5.6g,,,,0g,,,
7825621,Sainsbury's Slow Cook Pulled Pork Smokey BBQ Pulled Pork 599g (Serves 2),https://www.sainsburys.co.uk/shop/gb/groceries/ready-to-cook-314359-44/sainsburys-slow-cook-pulled-pork-smokey-bbq-pulled-pork-599g,£4.00,,,,Produced in United Kingdom Produced using British Pork,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/33/0000000256933/0000000256933_L.jpeg'],,,,,,245kcal,,,,,,,,,,,,,,,,,,,,,,,,1026kJ,,,,,,,,,,,,,,,,,,,,,2.3g,,,,,,,,,,,,,,,,,,,,,,,7.7g,,,,,,,,0.61g,,,,,,,,,,,,,,26.0g,,,,,,,,,,,,4.4g,,,,,,,,,,,,4.6g,,6.8g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/33/0000000256933/0000000256933_L.jpeg', 'path': 'full/1ed1bd6b3f476002f4430a7c693e7930f60fe3b6.jpg', 'checksum': '83a97beb618fbd9cd4ea07973de47306'}]",12.0g,,,,1.1g,,,
7845225,Sainsbury's Just Cook Beef Steaks with Garlic Butter 330g (Serves 2),https://www.sainsburys.co.uk/shop/gb/groceries/ready-to-cook-314359-44/jsjc-beef-stks-grlc-butter-330g,£4.00,,,,Produced in United Kingdom Produced using British Beef,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/79/0000000271479/0000000271479_L.jpeg'],,,,,,175kcal,,,,,,,,,,,,,,,,,,,,,,,,737kJ,,,,,,,,,,,0g,,,,,,,,,,0.2g,,,,,,,,,,,,,,,,,,,,,,,0.7g,,,,,,,,0.41g,,,,,,,,,,,,,,28.7g,,,,,,,,,,,,3.3g,,,,,,,,,,,,2.5g,,0.6g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/79/0000000271479/0000000271479_L.jpeg', 'path': 'full/f03c487c52c2f231bda5c9106b2f43a77b20d1dd.jpg', 'checksum': '473d4296345018b44fd23a36464b7bfd'}]",6.3g,,,,<0.5g,,,
7845753,Sainsbury's Just Cook Beef Steak with Peppercorns 370g (Serves 2),https://www.sainsburys.co.uk/shop/gb/groceries/ready-to-cook-314359-44/sainsburys-just-cook-beef-steak-peppercorn-370g,£4.00,,,,Produced in United Kingdom Produced using British Beef,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/48/0000000272148/0000000272148_L.jpeg'],,,,,,127kcal,,,,,,,,,,,,,,,,,,,,,,,,534kJ,,,,,,,,,,,0g,,,,,,,,,,0.6g,,,,,,,,,,,,,,,,,,,,,,,1.2g,,,,,,,,0.33g,,,,,,,,,,,,,,22.8g,,,,,,,,,,,,1.2g,,,,,,,,,,,,1.3g,,<0.5g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/48/0000000272148/0000000272148_L.jpeg', 'path': 'full/5ae7f5065182e7252df0d0cc491b3983c5b5afce.jpg', 'checksum': '46c133efa67d743c9e2ae7c9c6e28451'}]",3.3g,,,,<0.5g,,,
7847336,Sainsbury's Just Cook Honey Gammon Joint 470g (Serves 3),https://www.sainsburys.co.uk/shop/gb/groceries/ready-to-cook-314359-44/just-cook-honey-gammon-joint-470g,£4.00,,,,Produced in United Kingdom Produced using British pork,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/65/0000000273565/0000000273565_L.jpeg'],,,,,,197kcal,,,,,,,,,,,,,,,,,,,,,,,,822kJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1g,,,,,,,,1.26g,,,,,,,,,,,,,,23.4g,,,,,,,,,,,,4.0g,,,,,,,,,,,,,,1.7g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/65/0000000273565/0000000273565_L.jpeg', 'path': 'full/eabac54533cda76cb60c8df8b3661eb938a4b134.jpg', 'checksum': '1cc4dc378f66a91376d24a20d1c33235'}]",10.4g,,,,,,,
1077568,"Sainsbury's Just Cook Chicken Breast with Pork, Sage & Onion Stuffing 500g (Serves 3)",https://www.sainsburys.co.uk/shop/gb/groceries/ready-to-cook-314359-44/sainsburys-just-cook-chicken-breast-with-sage---onion-stuffing-500g,£4.25,,,,Produced in United Kingdom Produced using British chicken and pork,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/68/0000001077568/0000001077568_L.jpeg'],,,,,,221kcal,,,,,,,,,,,,,,,,,,,,,,,,923kJ,,,,,,,,,,,,,,,,,,,,,2.1g,,,,,,,,,,,,,,,,,,,,,,,0.8g,,,,,,,,0.54g,,,,,,,,,,,,,,23.2g,,,,,,,,,,,,5.1g,,,,,,,,,,,,5.7g,,<0.5g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/68/0000001077568/0000001077568_L.jpeg', 'path': 'full/a7fc5fd9ff58e4fe1f44ed1748a7d3e3c4eb5c69.jpg', 'checksum': '3301bdce7f70c957de0ce2ecf1817b7a'}]",13.9g,,,,<0.5g,,,
7517342,Sainsbury's Just Cook Beef Meatballs with Tomato Sauce & Parmesan 550g (Serves 2),https://www.sainsburys.co.uk/shop/gb/groceries/ready-to-cook-314359-44/sainsburys-just-cook-beef-meatballs-with-tomato-sauce---parmesan-550g,£3.50,,,,Produced in United Kingdom Produced using British beef,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/83/0000001806083/0000001806083_L.jpeg'],,,,,,215kcal,,,,,,,,,,,,,,,,,,,,,,,,895kJ,,,,,,,,,,,,,,,,,,,,,1.7g,,,,,,,,,,,,,,,,,,,,,,,5.5g,,,,,,,,0.78g,,,,,,,,,,,,,,13.8g,,,,,,,,,,,,5.9g,,,,,,,,,,,,6.9g,,1.3g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/83/0000001806083/0000001806083_L.jpeg', 'path': 'full/372c1cce48da8d015c66e45b018431c712eee08d.jpg', 'checksum': 'ee6987fe7f093ccb3327bd8d55c0db46'}]",15.2g,,,,<0.5g,,,
6308891,Sainsbury's Just Cook Scottish Salmon En Croute 380g (Serves 2),https://www.sainsburys.co.uk/shop/gb/groceries/ready-to-cook-314359-44/sainsburys-just-cook-scottish-salmon-en-croute-380g,£4.50,,,,Produced in United Kingdom Produced using farmed Scottish (UK) salmon,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/19/0000001186819/0000001186819_L.jpeg'],,,,0.1g,,328kcal,,,,,,,,,,,,,,,,,,,,,,,,1364kJ,,,,,,,,,,,19.0g,,,,,,,,,,2.3g,,,,,,,,,,,,,0.34g,,,,,,,,,,20.7g,,,,,,,,0.84g,,,,,,,,,,,,,,10.4g,,,,,,,,,,,,11.0g,,,,,,,,,,,,7.4g,,1.7g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/19/0000001186819/0000001186819_L.jpeg', 'path': 'full/e636218760df644d1b4618c8c0a621001cf2f2aa.jpg', 'checksum': '5540795bbc587b0af89c0332a44f150a'}]",22.3g,,,,1.1g,,,
551694,Sainsbury's Just Cook Turkey Breast Joint Butter Basted 500g (Serves 3),https://www.sainsburys.co.uk/shop/gb/groceries/ready-to-cook-314359-44/sainsburys-just-cook-roast-butter-basted-turkey,£4.00,,,,Produced in United Kingdom Packed in United Kingdom Produced using British Turkey,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/94/0000000551694/0000000551694_L.jpeg'],,,,,,154kcal,,,,,,,,,,,,,,,,,,,,,,,,649kJ,,,,,,,,,,,<0.5g,,,,,,,,,,1.1g,,,,,,,,,,,,,,,,,,,,,,,0.9g,,,,,,,,0.33g,,,,,,,,,,,,,,28.3g,,,,,,,,,,,,1.4g,,,,,,,,,,,,1.4g,,<0.5g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/94/0000000551694/0000000551694_L.jpeg', 'path': 'full/181bfae81027f7312372fb06038d0405e90077d0.jpg', 'checksum': '0e8f2ae715ed867747d2ac6182427b9a'}]",4.1g,,,,<0.5g,,,
6272095,Sainsbury's Just Cook Chicken Breast Joint Butter Basted 500g (Serves 3),https://www.sainsburys.co.uk/shop/gb/groceries/ready-to-cook-314359-44/sainsburys-just-cook-butter-basted-chicken-breast,£4.25,,,,Produced in United Kingdom Produced using British chicken,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/33/0000001135633/0000001135633_L.jpeg'],,,,,,200kcal,,,,,,,,,,,,,,,,,,,,,,,,836kJ,,,,,,,,,,,,,,,,,,,,,1.7g,,,,,,,,,,,,,,,,,,,,,,,<0.5g,,,,,,,,0.27g,,,,,,,,,,,,,,22.8g,,,,,,,,,,,,4.6g,,,,,,,,,,,,5.0g,,<0.5g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/33/0000001135633/0000001135633_L.jpeg', 'path': 'full/3f92659d4de5be0f7aca8fd555966c3445226716.jpg', 'checksum': '71f9a97c42f0612fabfc013f68de60ec'}]",12.0g,,,,<0.5g,,,
7161961,Sainsbury's Just Cook British Chicken Crown with Garlic & Herb Butter 525g (Serves 3),https://www.sainsburys.co.uk/shop/gb/groceries/ready-to-cook-314359-44/sainsburys-just-cook-garlic-chicken-crown-530g,£4.25,,,,Produced in United Kingdom Produced using British chicken,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/40/0000001691740/0000001691740_L.jpeg'],,,,,,160kcal,,,,,,,,,,,,,,,,,,,,,,,,673kJ,,,,,,,,,,,,,,,,,,,,,1.4g,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,0.30g,,,,,,,,,,,,,,26.1g,,,,,,,,,,,,1.9g,,,,,,,,,,,,2.6g,,0g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/40/0000001691740/0000001691740_L.jpeg', 'path': 'full/3cfdb39634d4454487142d3b7a7b7bed1e2c0455.jpg', 'checksum': '61c1c250e6ad0ecbeb59763dee8ffea9'}]",6.2g,,,,0g,,,
7888327,Sainsbury's Tartare Sauce 200g,https://www.sainsburys.co.uk/shop/gb/groceries/sauces--marinades---yorkshire-puddings-310901-44/sainsburys-tartare-sauce-200g,£1.50,,,,"Produced in England, United Kingdom",,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/17/0000000307017/0000000307017_L.jpeg'],,,,,,160kcal,,,,,,,,,,,,,,,,,,,,,,,,663kJ,,,,,,,,,,,3.3g,,,,,,,,,,2.7g,,,,,,,,,,,,,,,,,,,,,,,6.6g,,,,,,,,1.39g,,,,,,,,,,,,,,1.1g,,,,,,,,,,,,3.7g,,,,,,,,,,,,7.2g,,3.3g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/17/0000000307017/0000000307017_L.jpeg', 'path': 'full/64df731ea89dbe5428dd9b5b9280ab6b0bf8dd21.jpg', 'checksum': '30be8116b178b4e93255fa029f18a13e'}]",14.4g,,,,<0.5g,,,
7712013,Sainsbury's Bearnaise Sauce 125g,https://www.sainsburys.co.uk/shop/gb/groceries/sauces--marinades---yorkshire-puddings-310901-44/sainsburys-bearnaise-sauce-125g,£1.30,,,,Produced in United Kingdom,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/21/0000000178921/0000000178921_L.jpeg'],,,,,,259kcal,,,,,,,,,,,,,,,,,,,,,,,,1066kJ,,,,,,,,,,,3.4g,,,,,,,,,,1.2g,,,,,,,,,,,,,,,,,,,,,,,4.3g,,,,,,,,0.75g,,,,,,,,,,,,,,1.6g,,,,,,,,,,,,17.6g,,,,,,,,,,,,6.1g,,0.9g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/21/0000000178921/0000000178921_L.jpeg', 'path': 'full/dd57ea43d28a793474c903426c0daaa1a3b5ebc5.jpg', 'checksum': 'e5ca07b553141a52c25ae9125ffd85aa'}]",26.0g,,,,<0.5g,,,
7862760,Sainsbury's Yorkshire Puddings x8 240g,https://www.sainsburys.co.uk/shop/gb/groceries/sauces--marinades---yorkshire-puddings-310901-44/sainsburys-yorkshire-puddings-x8-240g,£2.00,,,,Produced in United Kingdom,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/82/0000000286282/0000000286282_L.jpeg'],,,,,,323kcal,,,,,,,,,,,,,,,,,,,,,,,,1358kJ,,,,,,,,,,,36.6g,,,,,,,,,,3.6g,,,,,,,,,,,,,,,,,,,,,,,42.7g,,,,,,,,0.50g,,,,,,,,,,,,,,11.6g,,,,,,,,,,,,1.1g,,,,,,,,,,,,6.4g,,3.1g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/82/0000000286282/0000000286282_L.jpeg', 'path': 'full/b6c2823dae3e60ab041a50f9152fed24972f8b59.jpg', 'checksum': 'dd614c0ca3a3810f72f02cbcb99159a0'}]",11.1g,,,,3.0g,,,
7926960,"Sainsbury's British Outdoor Bred Pigs in Blankets, Taste the Difference x10 210g",https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1236046&urlRequestType=Base&categoryId=310901&catalogId=10058&langId=44,£3.50,,,,Produced in United Kingdom Produced using British Pork,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/16/0000000336116/0000000336116_L.jpeg'],,,,,,277kcal,,,,,,,,,,,,,,,,,,,,,,,,1155kJ,,,,,,,,,,,2.0g,,,,,,,,,,4.3g,,,,,,,,,,,,,,,,,,,,,,,2.7g,,,,,,,,1.77g,,,,,,,,,,,,,,23.9g,,,,,,,,,,,,6.3g,,,,,,,,,,,,7.3g,,0.7g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/16/0000000336116/0000000336116_L.jpeg', 'path': 'full/3b6e0a9142ffce0314b5a3cbd1cd1e59e70ad3b0.jpg', 'checksum': '57eea4acc17bc7e4762e966520c842ce'}]",19.0g,,,,0g,,,
7514102,Sainsbury's Diane Sauce 150g,https://www.sainsburys.co.uk/shop/gb/groceries/sauces--marinades---yorkshire-puddings-310901-44/sainsburys-diane-sauce-150g,£1.30,,,,Produced in United Kingdom Produced using Beef from the UK,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/44/0000001803044/0000001803044_L.jpeg'],,,,,,123kcal,,,,,,,,,,,,,,,,,,,,,,,,509kJ,,,,,,,,,,,3.4g,,,,,,,,,,0.3g,,,,,,,,,,,,,,,,,,,,,,,4.3g,,,,,,,,0.75g,,,,,,,,,,,,,,3.2g,,,,,,,,,,,,6.5g,,,,,,,,,,,,2.7g,,0.8g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/44/0000001803044/0000001803044_L.jpeg', 'path': 'full/a331d0ab7b5072b5ca48df5831db8e9033bbc052.jpg', 'checksum': '161992d016742b34c02c8e7ea8e43edf'}]",10.2g,,,,<0.5g,,,
7514111,Sainsbury's Hollandaise Sauce 125g,https://www.sainsburys.co.uk/shop/gb/groceries/sauces--marinades---yorkshire-puddings-310901-44/sainsburys-hollandaise-sauce-125g,£1.30,,,,Produced in United Kingdom,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/51/0000001803051/0000001803051_L.jpeg'],,,,,,259kcal,,,,,,,,,,,,,,,,,,,,,,,,1069kJ,,,,,,,,,,,4.1g,,,,,,,,,,1.0g,,,,,,,,,,,,,,,,,,,,,,,5.0g,,,,,,,,0.78g,,,,,,,,,,,,,,1.7g,,,,,,,,,,,,16.6g,,,,,,,,,,,,6.5g,,0.9g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/51/0000001803051/0000001803051_L.jpeg', 'path': 'full/c0f5b768b1e5953751574e1092bcbb6a394a5a67.jpg', 'checksum': '7a69e415ec26fc1331c7b0519a4ca58c'}]",25.7g,,,,<0.5g,,,
7514061,Sainsbury's Beef Stock 450g,https://www.sainsburys.co.uk/shop/gb/groceries/sauces--marinades---yorkshire-puddings-310901-44/sainsburys-beef-stock-450g,£2.10,,,,Produced in United Kingdom Packed in United Kingdom Produced using Beef from the UK,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/17/0000001802917/0000001802917_L.jpeg'],,,,,,24kcal,,,,,,,,,,,,,,,,,,,,,,,,102kJ,,,,,,,,,,,,,,,,,,,,,<0.1g,,,,,,,,,,,,,,,,,,,,,,,<0.5g,,,,,,,,0.25g,,,,,,,,,,,,,,5.1g,,,,,,,,,,,,<0.1g,,,,,,,,,,,,<0.1g,,<0.5g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/17/0000001802917/0000001802917_L.jpeg', 'path': 'full/04637bdee563208de6a2e01c19fe72b86c7ef149.jpg', 'checksum': '8875774dcbbed09d66a2d23609213daa'}]",<0.5g,,,,<0.5g,,,
7514065,Sainsbury's Chicken Stock 450g,https://www.sainsburys.co.uk/shop/gb/groceries/sauces--marinades---yorkshire-puddings-310901-44/sainsburys-chicken-stock-450g,£2.10,,,,Produced in United Kingdom Packed in United Kingdom Produced using Chicken from the UK,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/24/0000001802924/0000001802924_L.jpeg'],,,,,,19kcal,,,,,,,,,,,,,,,,,,,,,,,,79kJ,,,,,,,,,,,0g,,,,,,,,,,<0.1g,,,,,,,,,,,,,,,,,,,,,,,<0.5g,,,,,,,,0.25g,,,,,,,,,,,,,,4.1g,,,,,,,,,,,,<0.1g,,,,,,,,,,,,<0.1g,,<0.5g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/24/0000001802924/0000001802924_L.jpeg', 'path': 'full/0eb96c88db3c68666f5a3e99e0170d8d5a47f2ec.jpg', 'checksum': '7c5ff1835a15424a2547d7dc3b6f5fa8'}]",<0.5g,,,,<0.5g,,,
7514091,Sainsbury's Peppercorn Sauce 150g,https://www.sainsburys.co.uk/shop/gb/groceries/sauces--marinades---yorkshire-puddings-310901-44/sainsburys-peppercorn-sauce-150g,£1.30,,,,Produced in United Kingdom,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/55/0000001802955/0000001802955_L.jpeg'],,,,,,103kcal,,,,,,,,,,,,,,,,,,,,,,,,429kJ,,,,,,,,,,,2.6g,,,,,,,,,,0.2g,,,,,,,,,,,,,,,,,,,,,,,3.6g,,,,,,,,0.75g,,,,,,,,,,,,,,3.2g,,,,,,,,,,,,5.2g,,,,,,,,,,,,2.2g,,1.0g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/55/0000001802955/0000001802955_L.jpeg', 'path': 'full/f65ccf4f733aef1c1401bfe2ce78e742a5fe2004.jpg', 'checksum': '9bad2e385462b6f750a1e71b25df59b4'}]",8.2g,,,,1.2g,,,
7944962,Sainsbury's Breaded White Fish Fillets x 4 600g,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1255036&urlRequestType=Base&categoryId=314361&catalogId=10123&langId=44,£2.50,,,,Produced in United Kingdom Caught in Pacific Ocean Produced using Alaska Pollock caught by trawls in the Pacific Ocean.,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/73/0000000347273/0000000347273_L.jpeg'],,,,,,209kcal,,,,,,,,,,,,,,,,,,,,,,,,878kJ,,,,,,,,,,,18.4g,,,,,,,,,,2.5g,,,,,,,,,,,,,,,,,,,,,,,19.5g,,,,,,,,0.73g,,,,,,,,,,,,,,13.4g,,,,,,,,,,,,0.7g,,,,,,,,,,,,4.8g,,1.1g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/73/0000000347273/0000000347273_L.jpeg', 'path': 'full/9471f042a9f8a90239d375f5be8143bb518b9727.jpg', 'checksum': '42fa9e18e67c2722c2d2388cf4f910b0'}]",8.3g,,,,1.5g,,,
3874622,Simon Howie Chieftain Haggis 908g,https://www.sainsburys.co.uk/shop/gb/groceries/special-offers-314361-44/simon-howie-chieftain-haggis-908g,£3.50,,,,,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/60/5060004210060/5060004210060_L.jpeg'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855kJ /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6g,,,,,,,,1.4g,,,,,,,,,,,,,,11.8g,,,,,,,,,0.5g,,,,,,,,,3.9g,,,,,,,,,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/60/5060004210060/5060004210060_L.jpeg', 'path': 'full/7ab9ac59f94969471bb590c6378039d146c66bae.jpg', 'checksum': '618fe88e39d9937740cf862f9e47ae14'}]",9.7g,,,,1.4g,,,
