item_code,product_name,url,price_per_unit,unit,rating,product_reviews,product_origin,product_image,Mono unsaturates,sugars,of which sugars:,of which Sugars,of which Sugars:,Vitamin A,Energy (kJ),Fat g,- sugars,Vitamin D,Proteine,image_urls,Fat:,- mono-unsaturates,Of which Sugars,Trans Fat,Total fat,Energy kcal,Fat (g),of which - Sugars,Carbohydrate:,(of which sugars),Trans Fats,of which saturated fatty acids,of which saturates [g],and EPA,Fibre g,Iron,Salt:,Fats,Protein g,- kcal,-of which sugars,DHA,poly-unsaturated,of which saturates (g),of which sugars :,Carbohydrate [g],- of which saturates (g),Fibre :,EPA,Energy,Of which saturates,Proteins,Carbohydrate g,Energy [kJ/kcal],Protein (g),Total Omega  3,Fat [g],of which saturates g,Energy:,- polyunsaturates,Starch,Calcium,Carbohydrate (g),of which sugar,Energy kJ,of which sugars [g],- of which Saturates,of which DHA,Trans fat,of which sugars,Polyunsaturates,Fibres,mono unsaturates,Total Sugars,Energy :,Fiber,Omega 3 Fatty Acids,- of which sugars (g),Vitamin B12,Omega 3,-of which saturates,Omega 3 fatty acids,of which saturated,Sodium,Protein [g],Protein :,Energy kJ/kcal,of which sugars (g),kcal,Salt (g),Energy value,Fat :,of which Saturates,Carbohydrate,of which sugars g,of which saturates :,thereof saturated fatty acids,Fibre:,of which saturates:,Thiamin (Vitamin B1),- starch,Salt,Vitamin C,Carbohydrate :,Carbohydrates:,Salt :,Polyols,mono-unsaturated,(of which saturates),Fibre [g],(of which sugars,trans fat,Energy (kcal),Dietary fibre,(kcal),Protein,Energy - kJ,- of which Sugars,saturates,- saturates,Of which: Saturates,of which - Saturates,polyunsaturates,Of which Saturates,- of which sugars,Fibre (g),of which saturates,Saturates,Energy kg/kcal,Potassium,Amount of sugar,of which saturated fats,Salt [g],- of which saturates,(of which saturates,Salt g,Omega 6,Carbohydrates,Protein:,Mono-unsaturates,Carbohydrates (g),Sugars,Of which: Sugars,of which Saturates:,Of which sugars,images,Fat,mono-unsaturates,of which: sugars,of which: saturates,Fibre,of which is saturated,of which: Saturates,Cholesterol
7514740,Sainsbury's Beef Gravy 300g,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-beef-gravy-300g,£1.60,,,,Produced in United Kingdom Packed in United Kingdom Produced using Beef from the UK,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/92/0000001803792/0000001803792_L.jpeg'],,,,,,41kcal,,,,,,,,,,,,,,,,,,,,,,,,172kJ,,,,,,,,,,,3.7g,,,,,,,,,,<0.1g,,,,,,,,,,,,,,,,,,,,,,,4.4g,,,,,,,,0.75g,,,,,,,,,,,,,,3.1g,,,,,,,,,,,,0.5g,,,,,,,,,,,,0.5g,,0.7g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/92/0000001803792/0000001803792_L.jpeg', 'path': 'full/3efd8a8f1b74e562c8d0f191595b8ad8154eecd0.jpg', 'checksum': '34ec057a967dbb320e1c53b02f6f6caf'}]",1.1g,,,,<0.5g,,,
7514650,Sainsbury's Onion Gravy 300g,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-onion-gravy-300g,£1.60,,,,Produced in United Kingdom Packed in United Kingdom,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/23/0000001803723/0000001803723_L.jpeg'],,,,,,47kcal,,,,,,,,,,,,,,,,,,,,,,,,197kJ,,,,,,,,,,,4.0g,,,,,,,,,,<0.1g,,,,,,,,,,,,,,,,,,,,,,,6.1g,,,,,,,,0.70g,,,,,,,,,,,,,,1.1g,,,,,,,,,,,,1.3g,,,,,,,,,,,,0.5g,,2.1g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/23/0000001803723/0000001803723_L.jpeg', 'path': 'full/85f0180f2151a524329bade99384d3d81c392bd4.jpg', 'checksum': '481878f73fa333833ace055d8a7be239'}]",2.0g,,,,<0.5g,,,
7514811,Sainsbury's Chicken Gravy 300g,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-poultry-gravy-300g,£1.60,,,,Produced in United Kingdom Packed in United Kingdom,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/08/0000001803808/0000001803808_L.jpeg'],,,,,,45kcal,,,,,,,,,,,,,,,,,,,,,,,,188kJ,,,,,,,,,,,3.5g,,,,,,,,,,0.4g,,,,,,,,,,,,,,,,,,,,,,,4.1g,,,,,,,,0.75g,,,,,,,,,,,,,,3.7g,,,,,,,,,,,,0.3g,,,,,,,,,,,,0.6g,,0.6g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/08/0000001803808/0000001803808_L.jpeg', 'path': 'full/426768860be5652de1f9b3f6af5c0394ff4a200f.jpg', 'checksum': '486efda3028d860f0cdad3c2cfeec764'}]",1.4g,,,,<0.5g,,,
7655417,"Sainsbury's Beef Gravy, Taste the Difference 450g",https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-beef-gravy--taste-the-difference-450g,£3.15,,,,Produced in United Kingdom Packed in United Kingdom,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/77/0000000130677/0000000130677_L.jpeg'],,,,,,89kcal,,,,,,,,,,,,,,,,,,,,,,,,372kJ,,,,,,,,,,,4.5g,,,,,,,,,,0.7g,,,,,,,,,,,,,,,,,,,,,,,7.0g,,,,,,,,0.75g,,,,,,,,,,,,,,4.2g,,,,,,,,,,,,1.9g,,,,,,,,,,,,2.1g,,2.5g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/77/0000000130677/0000000130677_L.jpeg', 'path': 'full/307f724cf7eeb04e2f713a61eeb10a42c45240d6.jpg', 'checksum': '03490618229e6ed99d2c691a99aaa533'}]",4.8g,,,,<0.5g,,,
7514661,Sainsbury's Parsley Sauce 300g,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-parsley-sauce-300g,£1.60,,,,Produced in United Kingdom,,1.4g,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/47/0000001803747/0000001803747_L.jpeg'],,,,,,78kcal,,,,,,,,,,,,,,,,,,,,,,,,323kJ,,,,,,,,,,,3.2g,,,,,,,,,,<0.1g,,,2.1g,,,,,,,,,,,,,,,,,,,,5.3g,,,,,,,,0.50g,,,,,,,,,,,,,,1.7g,,,,,,,,,,,,3.5g,,,,,,,,,,,,,,,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/47/0000001803747/0000001803747_L.jpeg', 'path': 'full/01aca6bc0a348ed7bf8b6e50b2620a6d0b6b826f.jpg', 'checksum': 'b68b618267d6cb98065307c49d3da963'}]",5.4g,,,,<0.5g,,,
526937,"Sainsbury's Heritage Baby Parsnips, Taste the Difference 230g",https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-heritage-baby-parsnips--taste-the-difference-230g-526937-p-44,£1.60,,,,Grown in United Kingdom,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/44/0000001139044/0000001139044_L.jpeg'],,,,,,72kcal,,,,,,,,,,,,,,,,,,,,,,,,302kJ,,,,,,,,,,,5.6g,,,,,,,,,,,,,5.4g,,,,,,,,,,,,,,,,,,,,11.4g,,,,,,,,0.03g,,,,,,,,,,,,,,1.8g,,,,,,,,,,,,0.2g,,,,,,,,,,,,,,,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/44/0000001139044/0000001139044_L.jpeg', 'path': 'full/505f0bd21dc1012ccfcb441ebf91da940b63ffd6.jpg', 'checksum': 'ef1aa6806c5ba0926a62376e0b821fc9'}]",1.1g,,,,4.6g,,,
1363289,"Sainsbury's Chicken Gravy, Taste the Difference 450g",https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-signature-chicken-gravy--taste-the-difference-450g,£3.15,,,,Produced in United Kingdom. Produced using British Chicken,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/89/0000001363289/0000001363289_L.jpeg'],,,,,,59kcal,,,,,,,,,,,,,,,,,,,,,,,,248kJ,,,,,,,,,,,3.6g,,,,,,,,,,,,,0.6g,,,,,,,,,,,,,,,,,,,,4.2g,,,,,,,,1.00g,,,,,,,,,,,,,,6.9g,,,,,,,,,,,,0.4g,,,,,,,,,,,,,,,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/89/0000001363289/0000001363289_L.jpeg', 'path': 'full/f19b097776d3ac23c3e47f4d65a3d76d889d2188.jpg', 'checksum': '5a263bc2352f3c16fd25853faef148f1'}]",1.5g,,,,<0.5g,,,
7902077,Sainsbury's Leeks 500g,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1194456&urlRequestType=Base&categoryId=411855&catalogId=10135&langId=44,£1.50,,,,,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/84/0000000313384/0000000313384_L.jpeg'],,,,,,27kcal,,,,,,,,,,,,,,,,,,,,,,,,111kJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8g,,,,,,,,<0.01g,,,,,,,,,,,,,,1.6g,,,,,,,,,,,,<0.1g,,,,,,,,,,,,,,2.1g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/84/0000000313384/0000000313384_L.jpeg', 'path': 'full/95a6db9bc2b7aea5c5bf372348c12b36c0bcfb9f.jpg', 'checksum': 'a084020bf640d8f92cbc7b82a1b821b9'}]",<0.5g,,,,2.2g,,,
6302754,Sainsbury's Vegetable Gravy Granules 170g,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-vegetable-gravy-granules-170g,£0.75,,,,Produced in United Kingdom,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/97/0000001174397/0000001174397_L.jpeg'],,,,,,31kcal,,,,,,,,,,,,,,,,,,,,,,,,130kJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0g,,,,,,,,0.93g,,,,,,,,,,,,,,<0.5g,,,,,,,,,,,,1.1g,,,,,,,,,,,,,,<0.5g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/97/0000001174397/0000001174397_L.jpeg', 'path': 'full/56d31352240745393e4f288e185ff8e2a5d3356c.jpg', 'checksum': '20d3c5ffdad315266806d90971f20ec4'}]",2.0g,,,,<0.5g,,,
7820102,Sainsbury's Cabbage & Leek 200g,https://www.sainsburys.co.uk/shop/gb/groceries/build-a-roast-dinner/sainsburys-cabbage---leek-200g,£1.00,,,,Packed in United Kingdom,,,,,,,,,,,,,['https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/21/0000000252621/0000000252621_L.jpeg'],,,,,,34kcal,,,,,,,,,,,,,,,,,,,,,,,,142kJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9g,,,,,,,,0.02g,,,,,,,,,,,,,,1.5g,,,,,,,,,,,,<0.1g,,,,,,,,,,,,,,3.9g,,,,"[{'url': 'https://www.sainsburys.co.uk/wcsstore7.32.0.14/ExtendedSitesCatalogAssetStore/images/catalog/productImages/21/0000000252621/0000000252621_L.jpeg', 'path': 'full/4fed4ab66a208d43e3231a6289232a32669460c6.jpg', 'checksum': 'b7e941686234fcfeb14aa62c9407fb8c'}]",<0.5g,,,,3.2g,,,
